x,y
48.11013922,-19.46153036
47.41956383,-19.96478629
47.08862875,-19.7096177
47.04966014,-19.85698688
45.65027578,-19.06161166
46.68819263,-19.54939475
46.58807374,-18.92870663
46.98440147,-18.90262287
46.56083449,-19.53254329
47.31841953,-19.14115092
46.33648983,-19.46792022
46.62159866,-20.07223561
47.22651529,-19.89165375
47.36657686,-19.28748364
47.47969804,-19.64488861
46.73143901,-18.89395875
46.96753098,-19.63570205
44.77502384,-23.36344803
47.63855811,-18.96449711
46.85568681,-19.6433227
47.56257181,-19.35112682
47.13960269,-19.11726972
46.10705239,-19.75443146
46.58154383,-19.22599391
46.62883484,-19.50250528
47.65706323,-19.71492795
49.21454199,-12.66574838
45.51044949,-24.36409984
49.00431262,-12.68328923
48.95704229,-12.55196707
49.37934706,-12.8448838
49.46538497,-12.59797294
49.26715406,-12.986835
49.13379175,-12.87073792
49.05687018,-12.77319099
48.88067986,-12.52480079
49.43492952,-12.7554141
48.24595051,-17.07977363
49.2757733,-12.98905341
49.55877164,-12.49151107
48.88247333,-12.6251691
49.11645659,-13.22962239
49.40115724,-13.05993577
49.56953463,-12.85563887
49.26812478,-11.99420914
49.02546166,-12.83804819
49.2040868,-12.5937952
49.41914377,-12.90118342
49.2365088,-12.75857336
49.33407281,-12.67283101
49.22199632,-12.7858822
49.1062676,-13.04516932
49.14513225,-12.99096461
49.46157483,-13.15013899
49.73882923,-13.12907332
49.51731235,-12.60123013
49.21300766,-13.32176079
49.20769298,-13.17675544
48.92525874,-16.96057715
49.20205789,-12.99814629
49.24351087,-12.77256976
49.07287193,-12.78403309
49.13250559,-13.22611488
49.63286283,-13.15819986
49.24326789,-12.00062846
48.85404631,-12.53331256
49.08528741,-13.50090783
48.96703988,-13.68034422
44.58122027,-24.93396276
48.19118302,-14.18379831
48.08807331,-14.00604941
48.31589881,-14.38112216
48.80264584,-13.52946114
48.13947165,-14.42266016
48.40067739,-14.07285074
48.51574844,-14.26235029
48.43787279,-13.90965337
48.17696845,-14.29571729
48.27902002,-14.25301828
45.68292444,-24.90475513
48.725916,-13.4721384
48.7889339,-13.66661962
48.79654747,-13.91325576
48.45472395,-18.02639485
48.64576603,-13.45531181
48.51135553,-14.34933938
49.15536433,-13.69292365
48.86871209,-13.74998274
49.26199649,-13.98443389
48.213334,-14.02859225
45.25026964,-25.01592734
48.63600289,-13.64963917
47.99635392,-14.03220646
48.23258823,-14.16901084
49.10491501,-14.1928531
48.19211694,-13.30753222
48.75866463,-13.81343504
48.07236857,-13.64143482
48.69623108,-14.24933574
48.0931622,-13.60866469
46.02396759,-24.72760268
48.44856624,-19.48004778
48.67144718,-13.83879413
49.24769846,-14.18770555
49.12456008,-13.28039918
48.6457512,-13.6335956
49.59750242,-12.82183814
49.11557168,-13.67997551
49.51941212,-12.75013475
48.48936217,-13.60146624
49.18974456,-12.97621845
48.5017359,-13.56716932
45.7879338,-25.25314902
49.44063393,-13.48143072
49.50526758,-13.62943394
49.28765179,-13.02404688
49.20905228,-13.36832461
49.11682459,-13.57329303
48.69464203,-13.94529591
49.24874603,-13.38833668
49.46719371,-13.13477877
49.20340484,-13.74426952
49.78631066,-14.22283468
45.2888874,-25.33344751
49.6507958,-12.8206609
49.11327609,-13.80750996
46.69201824,-21.78975531
49.34087643,-13.32187805
49.15780807,-12.71497051
48.85673908,-13.50284944
48.77580021,-13.63745004
48.62224469,-12.85694034
49.21935201,-12.72321298
45.46580056,-24.83823283
49.08003608,-12.48491845
49.13108443,-13.1876009
49.90117121,-13.50606582
49.95470959,-13.34891759
48.83402443,-13.15908833
49.56796802,-14.11109285
49.09877626,-12.50956568
49.0180911,-13.76613295
48.6315846,-13.46279943
48.72399568,-13.51141812
46.63704664,-23.41675714
48.04166269,-13.596013
48.91977822,-13.12299748
48.00382424,-13.5848531
47.82202287,-13.59622932
48.79808786,-13.47373793
48.67022487,-13.89064621
48.64721305,-13.45799802
48.36920517,-13.79523671
49.60818266,-14.74545735
47.51911056,-21.91628886
47.92367137,-16.26287562
49.71976957,-13.71411446
49.58438299,-14.1175992
49.76935792,-14.55452411
49.68584666,-14.85382578
49.58232742,-14.50091122
49.39127034,-14.24599499
49.80246614,-13.7038141
50.12189543,-14.07500841
49.75500718,-13.90239869
50.01417388,-14.45661098
49.61888018,-14.45125359
49.85693055,-13.86621982
49.78674703,-13.59760172
49.47853876,-14.50836508
49.81800283,-14.04986955
50.23890721,-14.78537156
49.14666247,-13.63533838
49.97972917,-14.80690319
49.95799877,-14.16398219
49.7778524,-13.74610384
48.26969001,-17.83082223
49.71653252,-14.05260053
49.56159847,-14.22963959
49.97095025,-14.86599284
49.86180949,-14.78121917
49.91416985,-14.54616412
49.57949302,-14.62172795
50.21389657,-14.94568904
49.16335279,-14.08020349
49.47078823,-14.44715707
44.95232792,-24.67540651
49.53446359,-14.69001492
50.22819291,-14.90909297
49.76197769,-14.68500196
49.71211338,-14.04811382
49.31969457,-14.52466278
49.62864914,-14.01676581
50.12513566,-14.74851936
49.99579655,-14.35698895
49.22667658,-14.6071176
49.30971917,-14.47960185
44.93314899,-24.96381601
49.42181965,-14.23829834
50.01933881,-14.11283487
50.1545606,-15.25510441
50.10327155,-15.52010303
49.89395832,-14.19064782
49.21182911,-14.57748487
49.92469356,-14.66292977
50.12056908,-14.3111706
50.17940183,-15.74201367
49.91045932,-14.50325005
43.73140842,-24.04362542
48.29692654,-19.61014649
50.38416737,-15.25602093
49.81311357,-15.17919116
49.70361554,-15.04125664
49.4754834,-14.83061975
49.94341574,-15.4474042
49.83426624,-14.34040978
49.81879818,-14.35475406
50.07347515,-14.44121961
49.67354296,-14.80861843
50.11682083,-14.46589089
49.97309275,-14.59397022
50.01829419,-15.35400515
50.0316126,-15.2554119
49.75781385,-14.97791934
49.94220208,-14.59961595
49.54211749,-14.6249816
49.58684567,-14.58011442
50.25577834,-15.32768116
50.1349704,-14.41610982
50.22985136,-15.01947127
49.99331142,-14.31709785
